Title,Details,Director,Actors,Original Title,Summary,User Rating
Hobbit: Smaug'un Çorak Toprakları,"2s 41dk | | | Macera | , | Fantastik",Yönetmen | Peter Jackson,"Oyuncular:, Martin Freeman, ,, Richard Armitage, ,, Ian McKellen","2s 41dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik","Hobbit üçlemesinin ilk filmi olan Hobbit: Beklenmedik Yolculuk'un devam filmi olan yapımda Shire’lı Hobbit Bilbo Baggins, Thorin Meşekalkan’ı ve beraberindeki 12 cüce ile çıktığı yolculuğu doğuya, Kuytuorman’a doğru sürdürmektedir. Ejderha Smaug’un yıllardır hüküm sürdüğü Yalnız Dağ’a ve kayıp Erebor Cüce ...","4,0"
Yüz Yüze,2s 19dk | | | Gerilim,Yönetmen | John Woo,"Oyuncular:, John Travolta, ,, Nicolas Cage, ,, Joan Allen","2s 19dk
                                        
                                            |
Gerilim","Sean Archer, sıkı bir FBI ajanıdır ve halen ölen oğlu Micheal’ın yasını tutmaktadır. Archer, oğlunun katilinin, yeminli bir düşman, güçlü bir suçlu olan Castor Troy olduğuna inanmaktadır. Bir gün Archer, nihayet Troy’u köşeye sıkıştırır ancak aralarında geçen kavga sırasında Archer, onun tüm Los Angeles şehri ve ...","4,4"
Click,"1s 47dk | | | Komedi | , | Dram | , | Fantastik",Yönetmen | Frank Coraci,"Oyuncular:, Adam Sandler, ,, Kate Beckinsale, ,, Christopher Walken","1s 47dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Fantastik","Bir mimar olan Micheal Newman’ın tipik bir orta sınıf ailesi vardır. Sevgi dolu, eşsiz karısı Donna, oğulları Ben ve kızları Samantha ve bir de sabit ziyaretçileri olan kendi ebeveynleri ile mutlu bir yaşamları vardır. Ancak Micheal tam bir işkoliktir. Sürekli stres altında, patronunu tatmin ederek şirkette bir ortaklık payı ...","4,4"
Yeni Hayat,"2s 23dk | | | Macera | , | Dram",Yönetmen | Robert Zemeckis,"Oyuncular:, Tom Hanks, ,, Helen Hunt, ,, Nick Searcy","2s 23dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Dram",FedEx isimli tanınmış bir şirkette sistem analist uzmanı olan Chuck Noland şirketiyle ilgili sorunları çözmek için dünya genelinde seyahatler yapmaktadır. Uzun süreli bir ilişkisi olan ve yoğunluğundan dolayı evlenmeye bile fırsat bulamayan Noland Noel gecesi sırasında aldığı bir telefonda bir işi çözümlemek için ...,"4,4"
Buz Devri 3: Dinozorların Şafağı,"1s 34dk | | | Macera | , | Animasyon | , | Komedi","Yönetmen | Carlos Saldanha | , | Mike Thurmeier","Oyuncular:, Ray Romano, ,, John Leguizamo, ,, Denis Leary","1s 34dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Komedi","Çizgi sinema tarihinde belki de hiçbir karakter bir meşe palamudunun peşinde koşan sevimli antik-sincap Scrat kadar sevilmemiştir. İşte başta Scrat olmak üzere, kahramanlarımızın maceradan maceraya koştukları Ice Age’in yeni filminde karşımıza bu defa da dinazorlar çıkıyor. Kaplanlara, avcılara, eriyen buzullara kafa tutan ...","4,4"
Milyoner,"2s 0dk | | | Komedi | , | Dramatik komedi | , | Romantik","Yönetmen | Loveleen Tandan | , | Danny Boyle","Oyuncular:, Dev Patel, ,, Freida Pinto, ,, Anil Kapoor","2s 0dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dramatik komedi,
                                                                                                                                                    
                                                                                Romantik","Dünyanın en yoksul insanlarının yaşadığı Hindistan'da geçen bir ""milyonerlik"" öyküsü olan filmde, Hindistan’ın gecekondularla dolu bir mahallesinde yaşayan genç Jamal'in enteresan hikayesi aktarılıyor. Jamal, fakir ve öksüz ancak idealist bir çocuktur. En büyük düşü, Hindistan'ın en ünlü bilgi yarışması programına ...","4,4"
Jurassic Park 3D,"2s 2dk | | | Macera | , | Bilim Kurgu",Yönetmen | Steven Spielberg,"Oyuncular:, Sam Neill, ,, Laura Dern, ,, Jeff Goldblum","2s 2dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Bilim Kurgu","Jurassic Park'ta fosilleşmiş bir sivrisinekten çıkarılan dinozor kanı, bilimadamlarına DNA ile yeniden dinozor yaratma imkanı verir. Dr. Hammond, bu DNA’dan yola çıkarak genetik olarak dinozorlar geliştirir ve bir tür hayvanat bahçesi açar. Çeşit çeşit dinozorların canlı olarak görülebileceği bu özel hayvanat bahçesinin ...","4,4"
Dağ 2,"2s 20dk | | | Dram | , | Savaş Filmi",Yönetmen | Alper Çağlar,"Oyuncular:, Çağlar Ertuğrul, ,, Ufuk Bayraktar, ,, Murat Serezli","2s 20dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Savaş Filmi","Teröristlerin elinden kurtulmayı başaran iki arkadaş Oğuz ve Bekir,  6 yıl sonra özel bir görev için Özel Kuvvetler 8. Muharebe Arama Kurtarma Timi'ne katılır. Timin özel görevi ise Kuzey Irak'ta bir terör örgütü tarafından kaçırılan gazeteci Ceyda Balaban'ı kurtarmaktır. Ancak bu sefer düşman geçmişteki gibi bir tane ...","3,2"
Hotel Rwanda,"2s 0dk | | | Biyografik | , | Dram",Yönetmen | Terry George,"Oyuncular:, Don Cheadle, ,, Joaquin Phoenix, ,, Nick Nolte","2s 0dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram","Hotel Rwanda filminde, kaosun Rwanda’nın günlük yaşamının başrollerinden birini oynadığı günlerde, Paul Rusesabagine, Kigali’de oldukça pahalı bir otel yönetmektedir. Onun için ırk kategorize edilmesi gereken bir insan özelliği değildir. Bir Tutsi olan Tatiana ile mutlu bir evlilikleri vardır. Tutsi isyankarlarının ...","4,4"
Melekler Şehri,"1s 53dk | | | Fantastik | , | Romantik",Yönetmen | Brad Silberling,"Oyuncular:, Nicolas Cage, ,, Meg Ryan, ,, Andre Braugher","1s 53dk
                                        
                                            |
Fantastik,
                                                                                                                                                    
                                                                                Romantik","Başarılı bir kardiyoloji cerrahı olan Maggie Rice başarılı giden bir ameliyat esnasında nedensiz yere hayata veda eden hastasını geri döndürmek için elinden geleni yapar ancak hastasını kurtaramaz. Bu acı olay sonrasında kendisine olan güvenini kaybeden kadın artık daha umutsuz, daha mutsuzdur. Bu sırada Los Angeles ...","4,4"
Yol,1s 50dk | | | Dram,"Yönetmen | Şerif Gören | , | Yılmaz Güney","Oyuncular:, Tarık Akan, ,, Halil Ergün, ,, Necmettin Çobanoğlu","1s 50dk
                                        
                                            |
Dram","Sıkı yönetim döneminin en iç acıtıcı dönemlerindeyiz... İmralı Cezaevi'nde yatan beş mahkum, kendilerine verilen bir izin sayesinde bir haftalığına köylerine dönebileceklerdir. Ancak yol uzundur, yol tehlikelidir, yol can alır. Dışarıdaki dünya içeridekinden hiç farklı değildir. Zulüm her yerdedir, bu topraklarda insan ...","4,4"
Yürüyen Şato,"1s 59dk | | | Macera | , | Animasyon | , | Fantastik",Yönetmen | Hayao Miyazaki,"Oyuncular:, Chieko Baishô, ,, Takuya Kimura, ,, Akihiro Miwa","1s 59dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Fantastik","Yürüyen Şato, kendisine yapılan büyünün etkisini yok etmeye çalışan genç bir kızın hikayesini anlatıyor.","4,4"
Kapışma,"1s 43dk | | | Komedi | , | Dedektif",Yönetmen | Guy Ritchie,"Oyuncular:, Jason Statham, ,, Brad Pitt, ,, Vinnie Jones","1s 43dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dedektif","Kapışma, suç ve aksiyon türünün son dönemdeki en dikkat çeken örneklerinden biri. Film, Londra’nın suçla örülü yeraltı dünyasında vuku bulan iki farklı hikayeyi ele alıyor. Bir tarafta çalınan bir elmasın peşinden gidenler, diğer yanda ise boks dünyasının arka sokaklarında dönen illegal işlerden birine karışan ...","4,4"
Karanlıkta Dans,"2s 19dk | | | Dedektif | , | Dram | , | Müzikal",Yönetmen | Lars von Trier,"Oyuncular:, Björk, ,, Catherine Deneuve, ,, Peter Stormare","2s 19dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Müzikal","Selma Jezkova, derme çatma bir karavanda 10 yaşındaki oğluyla beraber hayatını sürdürmeye çabalayan bir kadındır. Genetik ve kalıtsal bir hastalığı nedeniyle görme yetisini tamamen kaybetmek üzeredir. Bir gün kendi hastalığının kalıtsallığı nedeniyle oğlunun da bu hastalıkta muzdarip olacağını bilmektedir. Bu nedenle ...","4,4"
John Q,"1s 56dk | | | Dram | , | Gerilim",Yönetmen | Nick Cassavetes,"Oyuncular:, Denzel Washington, ,, Robert Duvall, ,, Anne Heche","1s 56dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Gerilim","John Q. yaşamını bir fabrikada çalışarak sürdüren ve tek derdi ailesinin mutlu olmasını sağlamak olan sıradan bir adamdır. Ailesine karşı büyük bir sevgi duyduğundan yaptığı her şeyi onlar için yapmaktadır. Bir gün oğlu olan Michael, fenalaşarak hastaneye kaldırılır. Michael'a hızlı bir şekilde yeni bir kalp ...","4,4"
