Title,Details,Director,Actors,Original Title,Summary,User Rating
Harry Potter ve Ateş Kadehi,2s 37dk | | | Fantastik,Yönetmen | Mike Newell,"Oyuncular:, Daniel Radcliffe, ,, Emma Watson, ,, Rupert Grint","2s 37dk
                                        
                                            |
Fantastik","Harry’nin Hogwart’daki dördüncü yılı başlamak üzeredir. Yaz tatilinde arkadaşları ile keyifli zamanlar geçirmiştir. Bu sezonda iddialı bir ürkütücü olaylar silsilesinden geçecek olduğundan henüz haberdar değildir. Lord Voldemort ile burun buruna gelecek olması, yeni okul yılının en çarpıcı hikayesini oluşturacaktır. ...","4,4"
Diğerleri,"1s 45dk | | | Dram | , | Fantastik | , | Korku",Yönetmen | Alejandro Amenábar,"Oyuncular:, Nicole Kidman, ,, Elaine Cassidy, ,, Christopher Eccleston","1s 45dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Korku","Amerika İkinci Dünya Savaşı'nın yaralarını sarmaya çalışmaktadır. New Jersey'de hayatını devam ettirmekte olan Grave ise savaşta eşini kaybetmiştir. Çocuklarının güneşe karşı alerjisi olduğundan oldukça karanlık bir evde yaşamaktadırlar. Grace, onlardan yardım almak üzere malikanelerine gelen insanlara yardım edip ...","4,4"
Kesişme: İyi ki Varsın Eren,"1s 37dk | | | Aksiyon | , | Dram",Yönetmen | Özer Feyzioğlu,"Oyuncular:, İsmail Hacıoğlu, ,, Rahman Başel, ,, Alayça Öztürk","1s 37dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dram","Kesişme; İyi ki Varsın Eren, Trabzon Maçka'da teröristlerle kahraman Mehmetçiğin çatışması sırasında hayatını kaybeden Eren Bülbül ve onu korumaya çalışırken şehit olan Astsubay Kıdemli Başçavuş Ferhat Gedik’in hayat hikayesini konu ediyor.","4,4"
Transformers,"2s 24dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | Michael Bay,"Oyuncular:, Shia LaBeouf, ,, Megan Fox, ,, Josh Duhamel","2s 24dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Çok uzun zaman önce, çok uzaklardaki Cybertron gezegeninde bir savaş başlamak üzeredir. Burası başka yapılara bürünebilen  robotların dünyasıdır. Her yerde olduğu üzere bu gezegende de robotlar da iyiler ve kötüler olarak ayrılmaktadırlar. Kendilerince başka amaçlar uğrunda mücadele eden bu transformerlar, gezegenin ...","4,4"
Aşk ve Gurur,"2s 9dk | | | Komedi | , | Romantik",Yönetmen | Joe Wright,"Oyuncular:, Keira Knightley, ,, Matthew Macfadyen, ,, Rosamund Pike","2s 9dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Romantik","Film, Jane Austen’in beş kız kardeş, Jane, Elizabeth, Mary, Kitty ve Lydia Bennet’i anlatan romanından uyarlanmıştır. Hikaye George dönemi İngilteresi’nde geçer. Ailenin yaşamı, genç ve zengin bir adam olan Bay Bingley’in ve onun en yakın arkadaşı Bay Darcy’nin komşu gelişleri ile tepetaklak olur. Kızların anneleri ...","4,4"
Kabadayı,"2s 20dk | | | Dedektif | , | Dram",Yönetmen | Ömer Vargı,"Oyuncular:, Şener Şen, ,, Kenan İmirzalıoğlu, ,, Aslı Tandoğan","2s 20dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram","Ali Osman, yılların tecrübesiyle gayrı-meşru bir meslek olan kabadayılıkta, kendi etik çerçevesiyle ayrıksı bir yerde durmaktadır. Tüm camiasında iyi tanınan bir adam olan Ali Osman, ezilenleri korumaya yönelik bir genel tavır takınmıştır. Devran ise gençliğinin getirdiği bir heyecanla Ali Osman’ın tam karşısında ...","4,4"
Cennet Gibi,"1s 35dk | | | Komedi | , | Fantastik | , | Romantik",Yönetmen | Mark Waters,"Oyuncular:, Reese Witherspoon, ,, Mark Ruffalo, ,, Donal Logue","1s 35dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Romantik","Elizabeth Masterson, San Francisco’da mesleğine kendini adamış bir doktordur ve işinden başka hiçbir şeye vakit bulamaz. İki çocuk sahibi kız kardeşi ile buluşmaya gelirken Elizabeth bir araba kazası geçirir ve komaya girer. Bu sırada eşini yeni kaybetmiş olan David Abbot adındaki bir mimar San Francisco’ya taşınır ve ...","4,4"
Yedi Yaşam,2s 3dk | | | Dram,Yönetmen | Gabriele Muccino,"Oyuncular:, Will Smith, ,, Rosario Dawson, ,, Woody Harrelson","2s 3dk
                                        
                                            |
Dram","İzleyiciyi avucuna alan bir gizem ve şaşırtıcı bir aşk öyküsü sunan Seven Pounds/Yedi Yaşam hayat ve ölüm, pişmanlık ve bağışlama, yabancılar ve dostluk, aşk ve kefaret üzerine kışkırtıcı sorular soruyor ve insanların kaderlerini şaşırtıcı biçimde birbirine bağlayan şeyleri takip ediyor.  Her şey yedi isimden ...","4,4"
E.T.,"2s 0dk | | | Macera | , | Aile | , | Bilim Kurgu",Yönetmen | Steven Spielberg,"Oyuncular:, Henry Thomas, ,, Drew Barrymore, ,, Dee Wallace","2s 0dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Aile,
                                                                                                                                                    
                                                                                Bilim Kurgu","Meraklı bir uzaylı grubu, ziyaret etmek ve meraklarını gidermek üzere dünyaya gelirler. Geri dönüşleri esnasında aralarından bir kişiyi memleketlerine döndürmeyi unuturlar. 3 milyon yılı uzaktan gelen bu sevimli yaratık korku içerisinde, hiç tanımadığı bir yerde tek başına kalmıştır. Elliot isimli, 10 yaşlarında bir ...","4,4"
Duvar,1s 57dk | | | Dram,Yönetmen | Yılmaz Güney,"Oyuncular:, Tuncel Kurtiz, ,, Ayşe Emel Mesci, ,, Nicolas Hossein","1s 57dk
                                        
                                            |
Dram","Konusunu gerçek yaşanmışlıklardan alan Duvar, 1970’li yılların sonunda Ankara Kapalı Cezaevi’nde başlayan bir isyanı konu alır. Hapishanenin tüm ağır ve kirli işlerini yapan, en kötü hücrelerinde kalan çocuklar koğuşundan çıkar isyan… Dördüncü koğuşun çocukları terk edilmiştirler, hırsızdırlar, katildirler… ...","4,4"
İçimdeki Deniz,2s 5dk | | | Dram,Yönetmen | Alejandro Amenábar,"Oyuncular:, Javier Bardem, ,, Belén Rueda, ,, Lola Dueñas","2s 5dk
                                        
                                            |
Dram","Ötenazi meselesini en derinlikli işleyen yapımlardan biri olan İçimdeki Deniz'de gösterdiği performans ile Javier Bardem destan yazıyor. Filmde, Ramon Sampedro’nun 30 yıldır yatağa bağlı yaşamı, dokunaklı bir dille sinemaya aktarılmış. 30 yıldır bir yatakta geçen trajik bir hayat... Gençliğinde geçirdiği bir kazadan ...","4,4"
Awakenings,"2s 1dk | | | Biyografik | , | Dram",Yönetmen | Penny Marshall,"Oyuncular:, Robert De Niro, ,, Robin Williams, ,, Penelope Ann Miller","2s 1dk
                                        
                                            |
Biyografik,
                                                                                                                                                    
                                                                                Dram","Oliver Sacks’ın kendi hayatını kaleme aldığı aynı isimli romandan sinemaya uyarlanan film, ömrünü bilime adayan asosyal bir doktorun, icat ettiği bir ilaç sayesinde değiştirdiği yaşamları anlatır. Nörolog Malcolm Sayer, yeni çalışmaya başladığı bir hastanede, daha önce görmediği tarzda bir hastalığa sahip bir grup ...","4,4"
Son Peygamber Hazreti Muhammed (S.A.V.),Animasyon,Yönetmen | Richard Rich,"Oyuncular:, Eli Allem",Animasyon,"Son İslam peygamberinin hayatını konu alan filmlerin en meşhuru Çağrı adındaki uzun metrajlı yapımken dini içerikli sayısız kısa metrajlı, animasyon vb denemeler de yapılagelmiştir. İşte Son Peygamber Hazreti Muhammed (S.A.V.) de bir canlandırma olarak karşımıza gelen çalışmalardan. Hz. Muhammed'in (S.A.V.) hayatını ...","4,4"
Zindan Adası,2s 17dk | | | Gerilim,Yönetmen | Martin Scorsese,"Oyuncular:, Leonardo DiCaprio, ,, Mark Ruffalo, ,, Ben Kingsley","2s 17dk
                                        
                                            |
Gerilim","Zindan Adası, Martin Scorsese'nin bir çok filmi gibi yine bir başyapıt statüsünde. Filmde, Teddy Daniels ve Chuck Aule isimli iki polis memurunun, Rachel Solando adlı bir akıl hastasının ortadan kaybolması üzerine tehlikeli akıl hastalarının tedavi gördüğü Shutter Adası isimli bölgede konuşlanan Ashecliffe Hastanesi'ne ...","4,4"
X-Men,"1s 45dk | | | Aksiyon | , | Fantastik | , | Bilim Kurgu",Yönetmen | Bryan Singer,"Oyuncular:, Patrick Stewart, ,, Ian McKellen, ,, Hugh Jackman","1s 45dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Bilim Kurgu","Profesör Xavier, dünyada birçok kişinin farkında olmadığı bir durumdan haberdardır. Bu nedenle kendi isteklerinden bağımsız olarak muhtelif mutasyonlara tabii tutulmuş olan insanları, yeteneklerini açığa çıkarabilmek adına bir okulda toplamıştır. Toplanılan bu gençlerin asıl amacı, dünyaya kötülük salmaya hevesli olan ...","4,4"
Diriliş,"2s 36dk | | | Macera | , | Western",Yönetmen | Alejandro González Iñárritu,"Oyuncular:, Leonardo DiCaprio, ,, Tom Hardy, ,, Domhnall Gleeson","2s 36dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Western","Hugh Glass kürkleri için hayvanları avlayan bir kuruluş için çalışan deneyimli bir tuzakçıdır. Fakat avlandıkları bölgelerde kendilerinden başka hem yerli Kızılderililer hem de Fransız birlikleri kol gezmektedir. Bir av ertesinde bir boz ayı tarafından ölümcül bir biçimde yaralanan Glass'ı, yavaşlamamak adına ekibi ...","4,3"
Ruhların Kaçışı,"2s 5dk | | | Macera | , | Animasyon | , | Fantastik",Yönetmen | Hayao Miyazaki,"Oyuncular:, Rumi Hiiragi, ,, Miyu Irino, ,, Mari Natsuki","2s 5dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Animasyon,
                                                                                                                                                    
                                                                                Fantastik","Ruhların Kaçışı, Japon animasyon üstadı Hayao Miyazaki’nin en değerli yapıtlarından biri. Film, küçük Chihiro ve ailesinin yeni bir kasabaya taşınmalarıyla açılır. Yolculuk esnasında yolda gördükleri bir tünele dikkat eden aile, tünelin içerisinden geçtiklerinde karşılaştıkları fantastik dünyanın içerisinde ...","4,3"
Yıldız Savaşları: Bölüm II - Klonlar’ın Saldırısı,"2s 22dk | | | Macera | , | Fantastik | , | Bilim Kurgu",Yönetmen | George Lucas,"Oyuncular:, Ewan McGregor, ,, Natalie Portman, ,, Hayden Christensen","2s 22dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Fantastik,
                                                                                                                                                    
                                                                                Bilim Kurgu","Açgözlü Ticaret Federasyonunun Naboo’ya karşı giriştiği işgalin yenilgiyle sonuçlanmasının üzerinden 10 sene geçmiştir. İlk filmde 9 yaşında karşılaştığımız Anakin Skywalker artık 19 yaşındadır ve Obi Wan’ın gözetimi altında Jedi Eğitimini sürdürmektedir. Naboo Kraliçesi Padme Amidala ise, görevini halefi ...","4,3"
Yıldız Tozu,"2s 7dk | | | Macera | , | Dram | , | Aile",Yönetmen | Matthew Vaughn,"Oyuncular:, Charlie Cox, ,, Claire Danes, ,, Robert De Niro","2s 7dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Aile","Sevdiği kadının aşkını kazanabilmek uğruna bir erkeğin yapabileceklerinin defalarca sınandığı hikayelere yeni bir örnek de, Matthew Vaughn’un son filmi Yıldız Tozu ile geliyor.Tristran, aşkının kalbini kazanabilmek için onun için kayan bir yıldızı yakalayacağına söz verir. Ama sevgilisi Yvaine ile çıktıkları bu ...","4,3"
Joker,2s 2dk | | | Dram,Yönetmen | Todd Phillips,"Oyuncular:, Joaquin Phoenix, ,, Robert De Niro, ,, Zazie Beetz","2s 2dk
                                        
                                            |
Dram","Joker, başarısız bir komedyen olan Arthur Fleck'in hayatına odaklanıyor.","3,8"
Son Kale,"2s 11dk | | | Aksiyon | , | Dram | , | Gerilim",Yönetmen | Rod Lurie,"Oyuncular:, Robert Redford, ,, James Gandolfini, ,, Mark Ruffalo","2s 11dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","General Irvin savaş taktikleri konusunda uzmanlaşmış, saygıdeğer bir askerdir. Bir gün hiç hak etmemesine rağmen büyük bir zan altında bırakılıp, güvenlikli bir hapishaneye postalanır. Albay Winter ise Irvin'in kapatıldığı hapishanenin müdürüdür. Mahkumları ıslah edebilmek için oldukça sert metotlar benimsemiştir. Tüm ...","4,3"
İnanılmaz Aile,"2s 3dk | | | Aksiyon | , | Macera | , | Animasyon",Yönetmen | Brad Bird,"Oyuncular:, Jason Lee, ,, Brad Bird, ,, Sarah Vowell","2s 3dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Macera,
                                                                                                                                                    
                                                                                Animasyon","Animasyon kahramanı Mr Incredible adı altında dünyada var olan kötülüklerle mücadele eden ve insanları kötücül şeylerden korumaya çalışan Bob Parr, dünyaca meşhurdur. Bir süre sonra hayatının bu denli yorucu olmasından yana şikayetçi olup emekliye ayrılmak ister. Eşi ve çocukları ile beraber daha sakin ve sıradan bir ...","4,3"
120,"Dram | , | Tarihi | , | Savaş Filmi","Yönetmen | Özhan Eren | , | Murat Saraçoğlu","Oyuncular:, Özge Özberk, ,, Cansel Elçin, ,, Burak Sergen","Dram,
                                                                                                                                                    
                                                                                Tarihi,
                                                                                                                                                    
                                                                                Savaş Filmi","Birinci Dünya Savaşı esnasında sınır birliklerinde cephane tükenir. Osmanlı ordusu cephanesiz kalır ve Van’da dehşet top sesleri duyulmaktadır. Kışın en sert zamanıdır. Ordu, Van’ın insanlarından yardım ister. Onların kaynakları mevcuttur. Ancak Türk-Rus harbi nedeni ile bölgenin tüm erkekleri imparatorluğun dört bir ...","4,3"
Hızlı ve Öfkeli,"1s 47dk | | | Aksiyon | , | Dedektif",Yönetmen | Rob Cohen,"Oyuncular:, Paul Walker, ,, Vin Diesel, ,, Michelle Rodriguez","1s 47dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dedektif","Hızlı ve Öfkeli'de Domenic Toretto, arabaların pahalı aksesuarlarını çalan bir çetenin baş üyesidir. Çok değerli elektronik ekipmanların çalınmış olması üzerine de baş şüpheli haline gelmiştir. Peşinde ise bu suçun muhattabını arayan bir sivil polis vardır. Bu sivil polis, bir yandan suçu araşırmak üzere çete ile ...","4,3"
Milyonluk Bebek,2s 12dk | | | Dram,Yönetmen | Clint Eastwood,"Oyuncular:, Clint Eastwood, ,, Morgan Freeman, ,, Hilary Swank","2s 12dk
                                        
                                            |
Dram","Milyonluk Bebek'te Frankie Dunn, tüm hayatını ring üzerinde dehşet dövüşçüler yetiştirerek geçirmiştir. Boksörlerine öğrettiği en önemli ders hayatın temel kuralıdır : Her şeyin ötesinde daima kendini koru! Zaman içinde kızından kopmanın acısı ile uyanışa geçen Frankie, uzun zamandır hiç kimseyle fazla ...","4,3"
Cennetin Krallığı,"2s 25dk | | | Aksiyon | , | Tarihi",Yönetmen | Ridley Scott,"Oyuncular:, Michael FitzGerald, ,, Orlando Bloom, ,, Liam Neeson","2s 25dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Tarihi","Film, Ortaçağ’da Kudüs’te geçen bir tarihi aksiyon olarak nitelendirilmektedir. Balian adında genç bir adam aslen demircilik yapmaktadır. Ailesini kaybetmiştir ve kader onun için bambaşka bir plan hazırlamaktadır. O yakında şövalye olacaktır. Ardından aşk kapıyı çalacak ve yüreğine ateş düşecektir. Bir prensese gönül ...","4,3"
Kalbini Dinle,"1s 53dk | | | Dram | , | Müzikal | , | Romantik",Yönetmen | Kirsten Sheridan,"Oyuncular:, Freddie Highmore, ,, Keri Russell, ,, Jonathan Rhys-Meyers","1s 53dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Müzikal,
                                                                                                                                                    
                                                                                Romantik","Film bir müzik mucizesini anlatıyor. Lyla Novacek ünlü ve güzel bir viyolonselist, Louis ise gitar çalıp bir klupte vokal yapan biridir. Bu iki insan birbirlerini tanıdıklarında müziğin de ritmine uyarak aşık olurlar birbirlerine. Ancak çok farklı hayatları vardır ve ayrılmak zorunda kalırlar. Ancak Lyla hamiledir. Bir gün bir ...","4,3"
Mesajınız Var,"1s 59dk | | | Dramatik komedi | , | Romantik",Yönetmen | Nora Ephron,"Oyuncular:, Tom Hanks, ,, Meg Ryan, ,, Parker Posey","1s 59dk
                                        
                                            |
Dramatik komedi,
                                                                                                                                                    
                                                                                Romantik","Kalabalık New York şehrindeki milyonlarca yalnız insandan biri olan Joe Fox, hayalini kurduğu kitapçıyı açmak üzeredir. Boş vakitlerini bilgisayar başında geçiren Joe, chat kanallarından birinde tanıştığı bir kadınla samimi bir dostluk kurmaya başlar. Kely isimli bu kadın kendine ait kitapçısında çocuk kitapları satan ...","4,3"
Matrix Reloaded,"2s 18dk | | | Aksiyon | , | Bilim Kurgu","Yönetmen | Lilly Wachowski | , | Lana Wachowski","Oyuncular:, Tiger Hu Chen, ,, Keanu Reeves, ,, Laurence Fishburne","2s 18dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Neo kendisini ajanların ve makinelerin ellerinden kurtarmayı başarmıştır. Ancak makineler insanların elde kalan son şehri olan Zion'u bulma konusunda önemli aşamalar kat etmişlerdir. Neo'nun görevi artık  sadece kendisini değil, kurtulmuş insanlığı da bir daha kurtarmak olacaktır. Zion direnmek zorundadır. Seçilmiş kişi olan ...","4,3"
Köstebek,"2s 30dk | | | Dedektif | , | Dram | , | Gerilim",Yönetmen | Martin Scorsese,"Oyuncular:, Leonardo DiCaprio, ,, Matt Damon, ,, Jack Nicholson","2s 30dk
                                        
                                            |
Dedektif,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","Köstebek, mafya ve polis teşkilatı arasında geçen savaşı anlatıyor. Uzun yıllardan beri mafya tarafından, polis teşkilatına sızmak üzere yetiştirilen adamlar son derece iyi pozisyonlardadırlar teşkilat bünyesinde. Aynı şekilde polisin aynı amaçla yetiştirdiği adamları da mafya içinde cirit atmaktadırlar. Ancak vakit her ...","4,3"
Adalet Peşinde,"1s 49dk | | | Aksiyon | , | Dram | , | Gerilim",Yönetmen | F. Gary Gray,"Oyuncular:, Gerard Butler, ,, Jamie Foxx, ,, Leslie Bibb","1s 49dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","Amerikan sinemasının en tutulan temalarından biri de adalet arayışına yönelik çekilen filmlerdir. İşte, The Italian Job/İtalyan İşi'nin yönetmeni Gray, Law Abiding Citizen/Adalet Peşinde'de bu janr çerçevesindeki filmlere bir ekleme yapmış oluyor. Filmin konusuna gelince; bir soygun sırasında sağ kalan Shelton en sevdiği iki ...","4,3"
Sürü,2s 7dk | | | Dram,Yönetmen | Zeki Ökten,"Oyuncular:, Tuncel Kurtiz, ,, Tarık Akan, ,, Melike Demirağ","2s 7dk
                                        
                                            |
Dram","Türkiye sinema tarihimizde bir başyapıt olarak literatüre geçen ""Sürü"" filminde, feodal sorunlar beyazperde'ye başarılı bir gerçekçilik ile yansıtılıyor. Hamo (Tuncel Kurtiz) geçimleri hayvancılık üzerine kurulu, göçer bir ailenin reisidir. Hamo’nun oğlu Şivan (Tarık Akan), kaderin bir cilvesi olarak, aralarında kan ...","4,3"
Kill Bill: Volume 2,"2s 15dk | | | Aksiyon | , | Dövüş | , | Gerilim",Yönetmen | Quentin Tarantino,"Oyuncular:, Uma Thurman, ,, David Carradine, ,, Michael Madsen","2s 15dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dövüş,
                                                                                                                                                    
                                                                                Gerilim","Gelin’in işi henüz bitmedi. Üstelik Bill’i ve onun etrafındaki herkesi öldürmeden de işi bitecek gibi görünmüyor. Komadan çıkan güzel, kendine gelmeye başladığı anda intikamını almak istediği herkesin cezası hazır beklemekteydi. Bu bir devam filmi olduğu için, ilk bölümden de hatırlanacağı üzere ortada bir takım ...","4,3"
Kır Zincirlerini,"1s 42dk | | | Aksiyon | , | Dram | , | Gerilim",Yönetmen | Louis Leterrier,"Oyuncular:, Jet Li, ,, Bob Hoskins, ,, Morgan Freeman","1s 42dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Gerilim","Danny, Bart Amca dediği güçlü bir haydut için adeta insana saldırmak üzere eğitilmiş bir köpek gibi yaşamaktadır. Danny, çocukluğundan itibaren öldürmek için savaşmaktan başka bir şey bilmemektedir. Bart onu bu şekilde yetiştirmiştir.Yasa dışı dövüşlerden başka hiçbir şey içinde yer almayan Danny’nin kafası da 10 ...","4,3"
Aşk Engel Tanımaz,"2s 4dk | | | Komedi | , | Romantik",Yönetmen | Roger Michell,"Oyuncular:, Julia Roberts, ,, Hugh Grant, ,, Richard McCabe","2s 4dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Romantik","William Thacker, Batı Londra'nın değişik bir yöresi olan Notting Hill'de yaşamaktadır. Eşinden boşanmış olan William, evini biraz tuhaf olan Spike adlı biri ile paylaşmaktadır ve Notting Hill'in tam merkezindeki Pazar caddesinde Portobello Road'da bir kitabevinin sahibidir. Bir gün dünyaca ünlü film yıldızı Anna Scott'un ...","4,3"
Matrix Revolutions,"2s 8dk | | | Aksiyon | , | Bilim Kurgu","Yönetmen | Lilly Wachowski | , | Lana Wachowski","Oyuncular:, Keanu Reeves, ,, Laurence Fishburne, ,, Carrie-Anne Moss","2s 8dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Makineler Zion'a ulaşmak için kazmaktadırlar. Ajan Smith ise kendi bağımsızlığını ilan ederek hem insanları hem de makineleri karşısına almıştır. Neo'nun tek düşmanı insanlığın sonunu hazırlayan makineler değildir. Ajan Smith, her iki tarafı da tehdit etmektedir. Ancak bir sorun vardır. Neo, araf adındaki bir yerde ...","4,3"
Zor Ölüm 4.0,"2s 9dk | | | Aksiyon | , | Dedektif | , | Gerilim",Yönetmen | Len Wiseman,"Oyuncular:, Bruce Willis, ,, Justin Long, ,, Timothy Olyphant","2s 9dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dedektif,
                                                                                                                                                    
                                                                                Gerilim","Eskinin hınzır ve tuttuğunu koparan polis memuru John McClane, artık hiç de o tanıdığımız uslanmaz ve başarılı adam değildir. Geçen yıllar ona pek de iyi davranmamıştır. Tepetaklak giden özel hayatı, karısından boşanması, kendini alkole vermesi gibi sorunların üzerine, artık polis departmanında da çalışmamaktadır. ...","4,3"
Cesaretin Var Mı Aşka?,"1s 33dk | | | Komedi | , | Dram | , | Romantik",Yönetmen | Yann Samuell,"Oyuncular:, Guillaume Canet, ,, Marion Cotillard, ,, Thibault Verhaeghe","1s 33dk
                                        
                                            |
Komedi,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Romantik","Birbirlerinin en iyi arkadaşları olan Julien ve Sophie, çocukken başladıkları tuhaf oyunu, yetişkinlik dönemlerinde de sürdürürler. Korkusuzluk içeren bir tür yarışmadır bu oyun. Cüretkar hünerlerini ortaya koyarak birbirlerini yenmeye çalışırlar. Sophie’nin Polonya kökenli olduğu için ırk ayrımı yapan çocuklarca ...","4,3"
Mesaj,"2s 33dk | | | Dram | , | Bilim Kurgu",Yönetmen | Robert Zemeckis,"Oyuncular:, Jodie Foster, ,, Matthew McConaughey, ,, Tom Skerritt","2s 33dk
                                        
                                            |
Dram,
                                                                                                                                                    
                                                                                Bilim Kurgu","Çocukluğundan gelen merak ve heyecanla dünya dışı yaşamlara ve varlıklara inanan Dr. Eleanor Arroway, bu tutkusunu çocuk yaşta kaybettiği babasının da yardımlarıyla bir mesleğe dönüştürür. Dr. Arroway SETI isimli programda çalışan, dünya dışı varlıkları araştıran bir ekibin önemli gökbilimcilerinden biridir. ...","4,3"
Günah Şehri,"2s 3dk | | | Aksiyon | , | Dedektif | , | Gerilim","Yönetmen | Robert Rodriguez | , | Frank Miller | , | Quentin Tarantino","Oyuncular:, Bruce Willis, ,, Mickey Rourke, ,, Jessica Alba","2s 3dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Dedektif,
                                                                                                                                                    
                                                                                Gerilim","Marv, aşık olduğu kadınla ilk kez bir geceyi beraber geçirdikten sonra ne yazık ki ertesi sabah onun, yanı başında öldüğünü görür. Ancak  konumları gereğince söz konusu cinayetin esas zanlısı pozisyonuna düşen Marv, polis tarafından aranırken kendisi de esas katilin peşine düşmüştür. Bir yandan kaçıp diğer yandan ...","4,3"
Örümcek-Adam Eve Dönüş Yok,"2s 28dk | | | Aksiyon | , | Macera | , | Fantastik",Yönetmen | Jon Watts,"Oyuncular:, Tom Holland, ,, Zendaya, ,, Benedict Cumberbatch","2s 28dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Macera,
                                                                                                                                                    
                                                                                Fantastik","Örümcek-Adam Eve Dönüş Yok, kimliği açığa Örümcek-Adam'ın, sırrını geri vermesi için Doktor Strange'den yardım istemesiyle birlikte yaşananları konu ediyor.","3,5"
Ekim Düşü,"1s 47dk | | | Dramatik komedi | , | Dram | , | Aile",Yönetmen | Joe Johnston,"Oyuncular:, Jake Gyllenhaal, ,, Chris Cooper, ,, Laura Dern","1s 47dk
                                        
                                            |
Dramatik komedi,
                                                                                                                                                    
                                                                                Dram,
                                                                                                                                                    
                                                                                Aile","Gerçek bir öyküden filme aktarılan 'October Sky - Ekim Düşü' tüm erkek çocukların babaları gibi madenci olmalarının beklendiği bir kasabada, ailesinin onun için hazırladığı geleceğin dışına çıkmaya çalışan, büyük hayalleri olan bir gencin hikayesini anlatıyor. 50’li yıllarda Batı Virginia’nın Coalwood ...","4,3"
Monte Cristo,"2s 11dk | | | Macera | , | Gerilim",Yönetmen | Kevin Reynolds,"Oyuncular:, Jim Caviezel, ,, Guy Pearce, ,, Dagmara Dominczyk","2s 11dk
                                        
                                            |
Macera,
                                                                                                                                                    
                                                                                Gerilim","Edmond Dantes, hayatını suya adamış olan bir denizcidir. Çok güzel bir kız olan Mercedes ile evlenmenin arifesindedir. Ancak kendisini, en yakın arkadaşlarından biri olan ve sevgilisine aşık olan Fernand'ın yaptıkları nedeniyle bir anda hapishanede bulur. Fernand, Mercedes'i ele geçirmek için oldukça sinsi planlar yapmıştır. ...","4,3"
Iron Man,"2s 6dk | | | Aksiyon | , | Bilim Kurgu",Yönetmen | Jon Favreau,"Oyuncular:, Robert Downey Jr., ,, Terrence Howard, ,, Gwyneth Paltrow","2s 6dk
                                        
                                            |
Aksiyon,
                                                                                                                                                    
                                                                                Bilim Kurgu","Tony Stark, hem bir mühendislik dahisi hem de tam bir playboydur. Kendi ülkesinde teknoloji harikası füzeler ve silahlar üretmektedir. Afganistan’da yeni bir füzeyi tanıtırken esir düşer ve yaralanır. Onu kaçıranlar, kendileri için bir füze yapmasını isterler. Tony ise bunun yerine zırhlı bir giysi yapar. Bunu yapmaktaki amacı ...","4,3"
